Moshe Katri
Frank C. Atkins
Unknown Analyst
Kyle Peterson
Steven Barlow
Anil Kumar Doradla
Steven N. Barlow
Jason Kupferberg
Justin Donati
Mayank Tandon
Maggie Nolan
Richard Eskelsen
Sashi Tanuku
Rick M. Eskelsen
Vincent Colicchio
Edward Caso
Craig Jones
Eric Ciura
Operator
David Koning
Maurizio Nicolelli
Amit Singh
Anil K. Doradla
Rahul S. Bhangare
Margaret Nolan
Kunal Doctor
Bryan C. Bergin
Joseph Foresi
David Grossman
Kunal Tayal
Pavan Bagai
Puneet Jain
Jeffrey Rossetti
Edward S. Caso
Ashwin Shirvaikar
Rohit Kapoor
Robert Simmons
Joseph D. Foresi
Ted StarckKing
Jac Charles
Frank Atkins
Kate Kronstein
Joseph Dean Foresi
Tientsin Huang
Vince Colicchio
David Michael Grossman
Jarrod Yahes
David M. Grossman
Anil Doradla
Bryan Bergin
Manish Hemrajani
S.K. Prasad Borra
Charles Murphy
Vincent A. Colicchio
Bryan Bergin 
Mike Reid
Jason Alan Kupferberg
David J. Koning
Timothy Wojs
TienTsin T. Huang
Paul B. Thomas
Vishal Chhibbar
Tyler Scott
Robert Bamberger
Unidentified Analyst
Jordan Fox
Adam Dahms
Steve Barlow
Richard M. Eskelsen
Frank Carl Atkins
Drew Kootman
Dave Koning
Unknown Speaker
