Wu Haisheng
Zheng Yan
Yan Zheng
Jiang Wu
Operator
Thomas Chong
John Cai
Alex Wu
Daphne Poon
Jacky Zuo
Mandy Dole
Matthew Larson
Yao Lee
Haisheng Wu
Alex Ye
Jun Xu
Steven Chan
Richard Xu
George Shao
Matthew Li
Unidentified Analyst
Ethan Wang
Jiang Zhang
Unidentified Company Representative
Alex Xu
Mandy Dong
