Jason Gesing
End of QA
A John Campbell
Q Tom White
Seth Siegler
Tom White
Q John Campbell
Operator
Shoeb Ansari
Jeff White
Courtney Chakarun
Glenn Sanford 
Courtney Keating
A Jason Gesing
Glenn Sanford
A Glenn Sanford
A Jeff Whiteside
Jeff Whiteside
John Campbell
Q Justin Ages
Leo Pareja
Justin Ages
