Yaron Kinar
Geoffrey Dunn
Court Dignan
Matthew Carletti
Michael Nannizzi
Mark Donald Lyons
Jay Gelb
Charles Sebaski
John C. R. Hele
Jamminder Bhullar 
John A. Hall
Ronald David Bobman
Mark Dwelle
Keith Walsh
Daniel Baldini
Franois Morin
Matthew Heimermann
Nicholas Mezick
Unidentified Analyst
Bob Glasspiegel
Mark. Lyons
Michael Phillips
Mark D. Lyons
Joshua D. Shanker
Disclaimer
Ronald Bobman
Josh Shanker
Jimmy Bhullarn
Operator
Elyse Greenspan 
Elyse Greenspan
Vinay Misquith
Mark Lyons
Meyer Shields
Constantine P. Iordanou
Ryan Byrnes
John Hall
Marc Grandisson 
Jay A. Cohen
Charles J. Sebaski
Ron Bobman
Mark A. Dwelle
Michael Steven Nannizzi
Derek Han
Meyer Shields 
Marc Grandisson
Francois Morin 
John Hele
Ryan Tunis
Greg Locraft
Jimmy Bhullar
Tracy Benguigui
Brian Meredith
Sarah DeWitt
Matt Carletti
John C.R. Hele
Mark Lyons 
Doug Mewhirter
Arash Soleimani
Francois Morin
Keith F. Walsh
Dan Farrell
Phil Stefano
Gregory Locraft
Scott Frost
Sean Reitenbach
Mike Zaremski
Tracy Benguigui 
Michael Phillips 
Joshua Shanker
Michael Zaremski
Unknown Analyst
Ryan J. Byrnes
Amit Kumar
Seth Rosenberg
Dinos Iordanou
Jay Adam Cohen
Geoff Dunn
Michael Zaremski 
Ian Gutterman
Jay Cohen
Rob Path
Kai Pan
Crystal Lu
Quentin McMillan
Constantine Iordanou
Ryan Burns
Matthew G. Heimermann
G. Alan Zimmermann
Ryan Tuniss
