Company Representatives
Jonathan Young
Joy Zhang
Glen Santangelo
Dev Weerasuriya
SteveBarnes
Stan Berenshteyn
Robert Jones
Cindy Motz
Hannah Baade
Alexander Draper
Stanislav Berenshteyn
Operator
Cindy Motz 
Sandy Draper
Ryan Macdonald
Todd Friedman
David Grossman
Jeff Garro
Steve Barnes
Jailendra Singh
Robert Simmons
Ryan Daniels
David Larsen
Craig Hettenbach
Stephanie Davis 
Vikram Kesavabhotla
Richard Close
Jessica Tassan
Steve Barnes 
Shantanu Nundy
Ricky Goldwasser
Stephanie Davis
Ryan McDonald
Sean Wieland
Jonathan Yong
Bob Jones
Matthew Gilmore
Unidentified Analyst
Rajeev Singh
Todd Friedman 
Ryan MacDonald
Cindy Matson
Jared Haase
Michael Cherny
Rajeev Singh 
Ryan Daniels 
