Company Representatives
Gary Zhou 
Gary Zhou
Bing Sun
Pranab Kumar Sarmah
Longgen Zhang
Lu Wang
Unidentified analyst
Ray Gi
Operator
Chao Ji
Wai Fung
Sebastien Ho
Justin Clare
Alan Lau 
John Segrich
Brad Meikle
Kevin He
Jun Liu
Paul Shiggler
Gongda Yao
Philip Shen
Dennis Ip
Rajiv Chaudhri
Colin Yang
Mike Tempero
Alan Lau
A Ming Yang
Luca Zu
Mae Huang
Kai Lu
Alan Hon
Wei Feng
Dora Liu
Manya Chen
Philip Shen 
Gordon Johnson
Vincent Yu
Vincent Chi
Sheng Zhong
A Longgen Zhang
Min Zhou
Longgen Zhang 
Patrick Jobin
Paul Strigler
Unidentified Analyst
Pierre Maccagno
Amy
Ming Yang
John Seafritch
Unidentified Company Representative
Tony Fei
Pranab Sarmah
