Ugur Sahin
Zhiqiang Shu
Jens Holstein
Sierk Poetting
Christopher Zopf
Daniel Wendorff
Ozlem Tureci
Operator
zlem Treci 
Sean Marett 
Unidentified Participant
Ryan Richardson 
Cory Kasimov
Jessica Fye
Tazeen Ahmad
Ali Merrill
zlem Treci
Ryan Richardson
Simon Baker
Sean Marett
Sylke Maas 
Akash Tewari
Ellie Merle
Arlinda Lee
Matthew Harrison
Sylke Maas
Jens Holstein 
Unidentified Analyst
Chris Shibutani
Daina Graybosch
