Ryan Kenny
Glenn SchorrISI Group
Adam Q. Beatty
Cynthia Mayer
Gerard Cassidy 
Thomas Gibbons
Brennan Hawken
Michael Carrier
Thomas P. Gibbons
Rob Rutschow
Glenn P. Schorr
Emily Portney
Mike Brown
Curtis Arledge
Rajiv Bhatia
Timothy Keaney
Brian Shea
Art Certosimo
Brian B. Bedell
Thomas Gibbons 
Thomas Gibson
Magda Palczynska
Jim Mitchell
Rob Wildhack 
Jim Mitchell 
Unidentified Analyst
Mike Santomassino
Jeffrey Harte
Unknown Speaker
Karen B. Peetz
Operator
Unidentified Company Speaker
Gerard S. Cassidy
Brian Bedell 
J. Jeffrey Hopson
John Stilmar
Marius Merz
Gerard Cassidy
Glenn Schorr
Andy Clark
Brennan McHugh Hawken
Brian T. Shea
James Mitchell
Gerald L. Hassel
Timothy F. Keaney
Kurt Woetzel
Karen Peetz
Cynthia Nevins Mayer
Betsy Graseck
Todd Gibbon
Vivek Juneja
Ken M. Usdin
Mike Mayo 
Robert Kelly
Kenneth M. Usdin
Curtis Y. Arledge
Gerald L. Hassell
Mike Carrier
Mike Mayo
Thomas C. McCrohan
Charlie Scharf
Charles Scharf
Gerald Hassel
Josh Levin
Michael Brown
Marty Mosby
Adam Beatty
Steven Duong
Rob C. Rutschow
Scott Freidenrich
Michael Brown 
Ashley N. Serrao
Todd Gibbons
Todd Johnson
Brennan Hawken 
Marius Merz 
Brian Thomas Shea
Casey Haire
Steven Chubak 
Todd Gibbons.
Geoffrey Elliott
Gregory W. Ketron
Michael Mayo
Jim F. Mitchell
Andrew Marquardt
Glenn Schorr of Evercore
Steven Chubak
Betsy L. Graseck
Luke Montgomery
Michael Santomassimo
James F. Mitchell
Rob Wildhack
Mike Santomassimo
Elizabeth Lynn Graseck
Howard Chen
Ken Usdin
Elizabeth Graseck
Brian Bedell
Gerald Hassell
Michael Anagnostakis
Mitchell Harris
Valerie C. Haertel
Valerie Haertel
John W. Stilmar
Unknown Analyst 
Emily Portney 
Kenneth Usdin
James Palermo
Arthur Certosimo
Robin Vince
Brian Kleinhanzl
Geoff Elliott
Unknown Executive
Ken Usdin 
Brian Foran
Robert Wildhack
Izzy Dawood
Alex Blostein
Mitchell Evan Harris
Ashley Serrao
Alexander Blostein
Robert Lee
