Alan Hicks
Patrizio Vinciarelli
Richard Shannon 
Presentation
Jamie Schmidt
Doug Campbell
Wally Walker
Jamie Simms
Operator
Jim Schmidt
Phil Davies
Paatrizio Vinciarelli
Peter Law
Richard Shannon
Phil Davies 
John Dilon
James Simms
Dr. Patrizio Vinciarelli
Doug Combat 
Hasnain Karim
Unidentified Participant
Gus Richard
PhilDavies
Matt Vigneau
Quinn Bolton
James Liberman
Hamed Khorsand
Jonathan Tanwanteng
Dick Nagel
RichShannon
Philip Davies
John Dillon
Matthew Vigneau
Richard Nagel
John Henderson
Mark Lanier
James Schmidt
James A. Simms
Dick Feldman
Doug Combat
Jim Bartley
Don McKenna
Unidentified Analyst
Ken Farsalas
Unidentified Company Representative
Jim Bartlett
Richard J. Nagel
Jon Tanwanteng
James Lieberman
