Mark Zhang
Martin Eurnekian
Jorge Arruda 
Jorge Arruda
Patricio Iaki Esnaola
Alex Demichelis
Operator
Bruno Amorim
Roberta Versiani
Q Unidentified Analyst
Stephen Trent
Martn Eurnekian
Gimena Albanesi
Filipe Nielsen
Ral Francos
Alejandro Demichelis
Patricio Inaki Esnaola
Pedro Mariani
Steven Trent
Nicolas Fabiancic
Raul Francos
Peter Bowley
Unidentified Analyst
Charles Cartledge
Ral Guillermo Francos
Martn Antranik Eurnekian
