Lauren Merendino
Ryan Crowe
Unidentified Analyst 
Operator
A Uneek Mehra
Madhu Kumar
Uneek Mehra
Q Unidentified Analyst
Juan Camilo
Q Brian Skorney
Frank Karbe
Juan Camilo Arjona
Jason Butler
Dave Marek
Roanna Ruiz
Dave Marek 
Brian Skorney
Juan Camilo Arjona Ferreira
Paul Choi
Gavin ClarkGartner
Dr. Juan Camilo Arjona
Unidentified Analyst
Phil Nadeau
Eric Joseph
