William Fraser
Marius Furuly
Ola Lorentzon
Operator
Espen Landmark
Herman Hildan
Fotis Giannakoulis
Magnus Fyhr
Per Heiberg
Greg Lewis
Rune Sand
Ulrik Andersen 
Dennis Anghelopoulos
Peder Simonsen
Ulrik Andersen
Petter Haugen
Thomas Semino
Lars stereng
Noah Parquette
Birgitte Vartdal
Gregory Lewis
Lukas Daul
Anders Karlsen
Peder Simonsen 
Unidentified Analyst
Omar Nokta
Jay Maher
Climent Molins
ClimentMolins
