Justin Schempp
Michael Perito
Disclaimer
Glen Herrick
J. Tyler Haahr
Frank Schiraldi
Operator
Bret Pharr
Steve Moss
Andrew Stimpson
BradHanson
Mick Goik
Brad Hanson
Tim Switzer
Stephen Moss
Tyler Haahr
Bradley Hanson
Brittany Elsasser
Daniel Cardenas
Brittany Kelley Elsasser
Wally Wallace
Unidentified Analyst
Brett Pharr
William Wallace
Anthony Sharett
