Nathaniel Kirk
Caroline Vandervoort Bone
Michael Gaugler
Richard Putnam
Leon Olivier
Rodney C. Clayton
Travis Miller
Jonathan Arnold
David Arcaro 
Mike Weinstein
Leon J. Olivier
Andy levy
Jack DAngelo
A Philip Lembo
James Dobson
Steven I. Fleishman
Jerimiah Booream
Ashar Khan
Ryan Karnish
Gregory S. Wood
Kevin Cole
James L. Dobson
Christopher Ellinghaus
Sophie Karp
Julien DumoulinSmith 
Nick Campanella
Jay Buth
Unidentified Analyst
Unidentified Company Representative
Shah Pourreza
Yilma Abebe
Dan Eggers
David Arcaro
Unknown Speaker
Disclaimer
James von Riesemann
Phil Lembo
Praful Mehta
Operator
John Moreira
Scott J. Levine
Paul Patterson
Jeffrey Kotkin
Steven Fleishman
Greg Gordon
Jonathan Evans
Paul Zimbardo
Rich Sunderland
Insoo Kim
Jim Judge
Andy Levi
Thomas J. May
Caroline Bone
George Walsh
Kit Konolige
Julien DumoulinSmith
James J. Judge
Leslie Rich
Durgesh Chopra
Graham Yoshio Tanaka
Jeffrey Kotkin 
Christopher R. Ellinghaus
Joe Nolan
Michael Weinstein
Angie Storozynski
Ryan Levine
Jeremy Tonet
Daniel L. Eggers
Rajeev Lalwani
Lee Olivier
Philip Lembo
Michael Lapides
Q David Arcaro
Robert Perry
Jonathan P. Arnold
Joseph Nolan 
David McHale
Neil Mehta
Jonathan Reeder
Julien Dumoulin Smith
Shar Pourreza
Philip J. Lembo
Unknown Analyst
Gentry Klein
Joseph Nolan
Shahriar Pourreza
Albert Leo Kaschalk
Justin McCann
Jeff Kotkin
Andrew Weisel
Jeffrey R Kotkin
James Judge
Josephine Moore
Sophie Karp 
Stephen Byrd
Caroline V. Bone
A Jeffrey Kotkin
Unknown Analyst 
Daniel M. Fidell
Jeffrey R. Kotkin
David J. Lockwood
Andrew M. Weisel
Neil Kalton
David Paz
Jay S. Buth
David A. Paz
Nicholas Campanella
Steven Berg
Unknown Executive
Joe Nolan 
Shar Pourezza
Alexander J. Rygiel
Ross Fowler
Michael J. Lapides
Charles Shivery
Steven Gambuzza
Steve Fleishman
Christine
David R. McHale
Maurice E. May
Charles W. Shivery
