Tim Lee
Bob White
Joanne Wuench
Chris OConnell
Robbie Marcus
Mike Coyle
Matthew J. Dodds
Mike Weinstein
 Ryan Weispfenning 
Derrick Sung
Danielle J. Antalffy
Brooks West
Kristen M. Stewart
Joanne K. Wuensch
Geoffrey S. Martha
David R. Lewis
Christopher J. O'Connell
Unidentified Analyst
Unidentified Company Representative
Karen L. Parkhill
Rajeev Jashnani
Anthony Petrone
David H. Roman
Hooman Hakami
Isaac Ro
Brett Wall
Operator
Joanne Weunsch
Bill Hawkins
Matthew Miksic
Matthew Dodds
Joanne Karen Wuensch
A Francesca DeMartino
Kaila Krum
Michael Matson
Matt Taylor
Danielle
Joanne Wuensch
Bruce Nudell
Matthew Dodd
Matthew Taylor
Rick Weiss
Robert Hopkins
Bryan Hanson
Omar S. Ishrak
David Roman
Joshua T. Jennings
Michael Coyle
Karen Parkhill
Josh Jennings
Bob Hopkins
Pito Chickering
Sara Michelmore
William Hawkins
Lawrence Biegelsen
Matt Keeler
Frederick A. Wise
Bruce M. Nudell
Steven M. Lichtman
Michael Weinstein
Travis Steed
Matt Miksic
Steven Lichtman
Joshua Jennings
Sean Salmon
Frederick Wise
Geoffrey Martha
Danielle Antalffy
Chris O'Connell
Omar Ishrak
Joann Wuensch
Hooman C. Hakami
Robert Marcus
Jeff Warren
Geoffrey Martha 
Glenn Novarro
Que Dallara
Chris Pasquale
Gary L. Ellis
Geoff Martha
Glenn Navarro
Ben Andrew
Matt
Michael N. Weinstein
Matthew O'Brien
Ryan Weispfenning
Rick Wise
Francesca DeMartino
Brooks E. West
A Unidentified Company Representative
Larry Biegelsen
Raj Denhoy
Gary Ellis
Robert A. Hopkins
Steve Lichtman
Adam T. Feinstein
Topher Orr
Michael J. Coyle
Kristen Stewart
Matt McDonough
Chris O'Connell 
Dave Roman
David Lewis
Glenn J. Novarro
Kevin Miller
Jayson Bedford
Rich Newitter
Vijay Kumar
Cecilia Furlong
