href,ticker,fair_value
/stocks/us/consumer-services/nyse-mcd/mcdonalds,MCD, ($244.9)
/stocks/us/consumer-services/nasdaq-sbux/starbucks,SBUX, ($97.75)
/stocks/us/consumer-services/nasdaq-bkng/booking-holdings,BKNG, ($3275.68)
/stocks/us/consumer-services/nasdaq-abnb/airbnb,ABNB, ($198.8)
/stocks/us/consumer-services/nasdaq-mar/marriott-international,MAR, ($204.33)
/stocks/us/consumer-services/nyse-cmg/chipotle-mexican-grill,CMG, ($1285.42)
/stocks/us/consumer-services/nyse-hlt/hilton-worldwide-holdings,HLT, ($158.52)
/stocks/us/consumer-services/nyse-yum/yum-brands,YUM, ($91.78)
/stocks/us/consumer-services/nyse-lvs/las-vegas-sands,LVS, ($135.58)
/stocks/us/consumer-services/nyse-qsr/restaurant-brands-international,QSR, ($56.57)
/stocks/us/consumer-services/nyse-yumc/yum-china-holdings,YUMC, ($72.55)
/stocks/us/consumer-services/nyse-dri/darden-restaurants,DRI, ($149.13)
/stocks/us/consumer-services/nasdaq-tcom/tripcom-group,TCOM, ($69.27)
/stocks/us/consumer-services/nasdaq-expe/expedia-group,EXPE, ($245.18)
/stocks/us/consumer-services/nyse-rcl/royal-caribbean-cruises,RCL, ($108.59)
/stocks/us/consumer-services/nyse-mgm/mgm-resorts-international,MGM, ($1.18)
/stocks/us/consumer-services/nyse-dpz/dominos-pizza,DPZ, ($246.2)
/stocks/us/consumer-services/nyse-ccl/carnival-corporation,CCL, ($18.28)
/stocks/us/consumer-services/nyse-sci/service-corporation-international,SCI, ($53.27)
/stocks/us/consumer-services/nasdaq-czr/caesars-entertainment,CZR, ($114.06)
/stocks/us/consumer-services/nasdaq-htht/h-world-group,HTHT, ($66.43)
/stocks/us/consumer-services/nyse-h/hyatt-hotels,H, ($125.98)
/stocks/us/consumer-services/nyse-armk/aramark,ARMK, ($28.43)
/stocks/us/consumer-services/nyse-mtn/vail-resorts,MTN, ($189.42)
/stocks/us/consumer-services/nyse-adt/adt,ADT, ($17.25)
/stocks/us/consumer-services/nasdaq-wynn/wynn-resorts,WYNN, ($199.74)
/stocks/us/consumer-services/nasdaq-chdn/churchill-downs,CHDN, ($466.68)
/stocks/us/consumer-services/nyse-nclh/norwegian-cruise-line-holdings,NCLH, ($14.08)
/stocks/us/consumer-services/nasdaq-txrh/texas-roadhouse,TXRH, ($87.35)
/stocks/us/consumer-services/nyse-hrb/hr-block,HRB, ($99.02)
/stocks/us/consumer-services/nyse-chh/choice-hotels-international,CHH, ($87.01)
/stocks/us/consumer-services/nyse-wh/wyndham-hotels-resorts,WH, ($75.62)
/stocks/us/consumer-services/nyse-byd/boyd-gaming,BYD, ($84.45)
/stocks/us/consumer-services/nyse-plnt/planet-fitness,PLNT, ($53.57)
/stocks/us/consumer-services/nasdaq-lnw/light-wonder,LNW, ($134.52)
/stocks/us/consumer-services/nyse-vac/marriott-vacations-worldwide,VAC, ($105.53)
/stocks/us/consumer-services/nasdaq-penn/penn-entertainment,PENN, ($36.05)
/stocks/us/consumer-services/nasdaq-dkng/draftkings,DKNG, ($42.8)
/stocks/us/consumer-services/nyse-bros/dutch-bros,BROS,
/stocks/us/consumer-services/nyse-igt/international-game-technology,IGT, ($20.97)
/stocks/us/consumer-services/nyse-hgv/hilton-grand-vacations,HGV, ($63.34)
/stocks/us/consumer-services/nasdaq-wing/wingstop,WING, ($77.93)
/stocks/us/consumer-services/nyse-tmx/terminix-global-holdings,TMX, ($68.66)
/stocks/us/consumer-services/nasdaq-wen/wendys,WEN, ($24.76)
/stocks/us/consumer-services/nyse-edu/new-oriental-education-technology-group,EDU, ($101.41)
/stocks/us/consumer-services/nyse-bfam/bright-horizons-family-solutions,BFAM, ($138.1)
/stocks/us/consumer-services/nasdaq-rrr/red-rock-resorts,RRR, ($60.93)
/stocks/us/consumer-services/nyse-seas/seaworld-entertainment,SEAS, ($223.13)
/stocks/us/consumer-services/nyse-chgg/chegg,CHGG, ($42.24)
/stocks/us/consumer-services/nasdaq-lope/grand-canyon-education,LOPE, ($186.43)
/stocks/us/consumer-services/nyse-ghc/graham-holdings,GHC, ($917.23)
/stocks/us/consumer-services/nyse-tal/tal-education-group,TAL, ($13.94)
/stocks/us/consumer-services/nasdaq-duol/duolingo,DUOL, ($107.14)
/stocks/us/consumer-services/nyse-tnl/travel-leisure,TNL, ($76.76)
/stocks/us/consumer-services/nasdaq-pzza/papa-johns-international,PZZA, ($77.54)
/stocks/us/consumer-services/nasdaq-mmyt/makemytrip,MMYT, ($27.3)
/stocks/us/consumer-services/nasdaq-mlco/melco-resorts-entertainment,MLCO, ($10.71)
/stocks/us/consumer-services/nyse-mcw/mister-car-wash,MCW,
/stocks/us/consumer-services/nasdaq-cbrl/cracker-barrel-old-country-store,CBRL, ($149.79)
/stocks/us/consumer-services/nasdaq-srad/sportradar-group,SRAD, ($17.75)
/stocks/us/consumer-services/nyse-bowl/bowlero,BOWL, ($20.08)
/stocks/us/consumer-services/nyse-gbtg/global-business-travel-group,GBTG, ($28.71)
/stocks/us/consumer-services/nasdaq-dnut/krispy-kreme,DNUT, ($18.09)
/stocks/us/consumer-services/nasdaq-udmy/udemy,UDMY, ($19.72)
/stocks/us/consumer-services/nasdaq-laur/laureate-education,LAUR, ($26.03)
