href,ticker,fair_value
/stocks/us/telecom/nasdaq-tmus/t-mobile-us,TMUS, ($403.93)
/stocks/us/telecom/nyse-vz/verizon-communications,VZ, ($138.73)
/stocks/us/telecom/nyse-t/att,T, ($79.24)
/stocks/us/telecom/nasdaq-lbty.a/liberty-global,LBTY.A, ($54.05)
/stocks/us/telecom/nyse-lumn/lumen-technologies,LUMN, ($7.11)
/stocks/us/telecom/nasdaq-irdm/iridium-communications,IRDM, ($74.23)
/stocks/us/telecom/nasdaq-fybr/frontier-communications-parent,FYBR,
/stocks/us/telecom/nysemkt-gsat/globalstar,GSAT, ($2.21)
/stocks/us/telecom/nasdaq-ccoi/cogent-communications-holdings,CCOI, ($76.3)
/stocks/us/telecom/nasdaq-tigo/millicom-international-cellular,TIGO, ($60.51)
/stocks/us/telecom/nyse-ihs/ihs-holding,IHS, ($25.9)
/stocks/us/telecom/nasdaq-gogo/gogo,GOGO, ($40.78)
/stocks/us/telecom/nyse-usm/united-states-cellular,USM, ($928.88)
/stocks/us/telecom/nasdaq-lila/liberty-latin-america,LILA, ($29.54)
/stocks/us/telecom/nasdaq-sats/echostar,SATS, ($5.68)
/stocks/us/telecom/nasdaq-ptnr/partner-communications,PTNR, ($15.49)
/stocks/us/telecom/nasdaq-asts/ast-spacemobile,ASTS, ($1098.68)
/stocks/us/telecom/nyse-tds/telephone-and-data-systems,TDS, ($15.21)
/stocks/us/telecom/nasdaq-radi/radius-global-infrastructure,RADI,
/stocks/us/telecom/nasdaq-shen/shenandoah-telecommunications,SHEN, ($1.48)
/stocks/us/telecom/nasdaq-atni/atn-international,ATNI, ($299.73)
/stocks/us/telecom/nasdaq-atex/anterix,ATEX, ($917.85)
/stocks/us/telecom/nasdaq-veon/veon,VEON, ($8.7)
/stocks/us/telecom/nyse-idt/idt,IDT, ($0.38)
/stocks/us/telecom/nasdaq-cnsl/consolidated-communications-holdings,CNSL, ($58.43)
/stocks/us/telecom/nasdaq-band/bandwidth,BAND, ($9.67)
/stocks/us/telecom/nasdaq-crge/charge-enterprises,CRGE, ($9.22)
/stocks/us/telecom/nyse-ooma/ooma,OOMA, ($55.86)
/stocks/us/telecom/nasdaq-sify/sify-technologies,SIFY,
/stocks/us/telecom/nasdaq-fngr/fingermotion,FNGR,
/stocks/us/telecom/nyse-kore/kore-group-holdings,KORE, ($22.91)
/stocks/us/telecom/nasdaq-spok/spok-holdings,SPOK, ($4.97)
/stocks/us/telecom/nasdaq-surg/surgepays,SURG,
/stocks/us/telecom/nasdaq-ucl/ucloudlink-group,UCL,
/stocks/us/telecom/nyse-stry/starry-group-holdings,STRY,
/stocks/us/telecom/nasdaq-nxpl/nextplat,NXPL,
/stocks/us/telecom/nasdaq-cuen/cuentas,CUEN,
