href,ticker,fair_value
/stocks/us/transportation/nyse-ups/united-parcel-service,UPS, ($189.39)
/stocks/us/transportation/nyse-unp/union-pacific,UNP, ($192.96)
/stocks/us/transportation/nasdaq-csx/csx,CSX, ($29.92)
/stocks/us/transportation/nyse-nsc/norfolk-southern,NSC, ($226.38)
/stocks/us/transportation/nyse-uber/uber-technologies,UBER, ($59.57)
/stocks/us/transportation/nyse-fdx/fedex,FDX, ($353.9)
/stocks/us/transportation/nasdaq-odfl/old-dominion-freight-line,ODFL, ($215.37)
/stocks/us/transportation/nyse-luv/southwest-airlines,LUV, ($54.67)
/stocks/us/transportation/nyse-dal/delta-air-lines,DAL, ($40.14)
/stocks/us/transportation/nasdaq-jbht/jb-hunt-transport-services,JBHT, ($170.58)
/stocks/us/transportation/nasdaq-expd/expeditors-international-of-washington,EXPD, ($117.26)
/stocks/us/transportation/nyse-zto/zto-express-cayman,ZTO, ($22.75)
/stocks/us/transportation/nasdaq-ual/united-airlines-holdings,UAL, ($20.07)
/stocks/us/transportation/nasdaq-chrw/ch-robinson-worldwide,CHRW, ($122.99)
/stocks/us/transportation/nasdaq-grab/grab-holdings,GRAB, ($22.57)
/stocks/us/transportation/nasdaq-uhal/amerco,UHAL, ($1.81)
/stocks/us/transportation/nasdaq-aal/american-airlines-group,AAL, ($40.19)
/stocks/us/transportation/nasdaq-car/avis-budget-group,CAR, ($580.05)
/stocks/us/transportation/nyse-knx/knight-swift-transportation-holdings,KNX, ($34)
/stocks/us/transportation/nyse-ymm/full-truck-alliance,YMM, ($29.36)
/stocks/us/transportation/nasdaq-saia/saia,SAIA,
/stocks/us/transportation/nasdaq-lstr/landstar-system,LSTR, ($120.84)
/stocks/us/transportation/nasdaq-htz/hertz-global-holdings,HTZ,
/stocks/us/transportation/nyse-alk/alaska-air-group,ALK, ($3.1)
/stocks/us/transportation/nyse-gxo/gxo-logistics,GXO, ($38.96)
/stocks/us/transportation/nasdaq-lyft/lyft,LYFT, ($53.99)
/stocks/us/transportation/nyse-xpo/xpo-logistics,XPO, ($77.23)
/stocks/us/transportation/nyse-r/ryder-system,R, ($43.37)
/stocks/us/transportation/nyse-sndr/schneider-national,SNDR, ($53.87)
/stocks/us/transportation/nyse-atco/atlas,ATCO, ($46.51)
/stocks/us/transportation/nyse-kex/kirby,KEX, ($111.55)
/stocks/us/transportation/nyse-zim/zim-integrated-shipping-services,ZIM, ($126.3)
/stocks/us/transportation/nasdaq-fwrd/forward-air,FWRD, ($163.4)
/stocks/us/transportation/nyse-cpa/copa-holdings,CPA, ($44.95)
/stocks/us/transportation/nasdaq-ulcc/frontier-group-holdings,ULCC,
/stocks/us/transportation/nasdaq-aaww/atlas-air-worldwide-holdings,AAWW, ($236.83)
/stocks/us/transportation/nyse-matx/matson,MATX, ($120.31)
/stocks/us/transportation/nyse-joby/joby-aviation,JOBY,
/stocks/us/transportation/nasdaq-hubg/hub-group,HUBG, ($124.01)
/stocks/us/transportation/nasdaq-jblu/jetblue-airways,JBLU, ($13.28)
/stocks/us/transportation/nasdaq-wern/werner-enterprises,WERN, ($295.83)
/stocks/us/transportation/nyse-save/spirit-airlines,SAVE, ($109.16)
/stocks/us/transportation/nasdaq-sblk/star-bulk-carriers,SBLK, ($46.74)
/stocks/us/transportation/nasdaq-atsg/air-transport-services-group,ATSG,
/stocks/us/transportation/nasdaq-arcb/arcbest,ARCB, ($131.03)
/stocks/us/transportation/nyse-rxo/rxo,RXO, ($27.56)
/stocks/us/transportation/nasdaq-gogl/golden-ocean-group,GOGL, ($22.08)
/stocks/us/transportation/nasdaq-mrtn/marten-transport,MRTN, ($13.43)
/stocks/us/transportation/nasdaq-algt/allegiant-travel,ALGT,
/stocks/us/transportation/nyse-caap/corporacion-america-airports,CAAP, ($99.26)
