Andres Coello
Bruno Giardino
Lucas Nagano
Felipe Amancio
Emiliano Flores
Mario Ghio Junior
Lucca Marquezini
Marcelo Wernick
Unidentified Analyst
Guilherme Melega
Marcelo Santos
Vitor Tomita
Mario Ghio
Mrio Ghio
Operator
Vinicius Figueiredo
Guilherme Mlega
