Joe Yan
TaylorHarris
Jason Helfstein
Nick Jones
Jackie Reses
Vivian Lou
Operator
Stephen Ju
Tyler Seidman
Bill Bird
Jesse Beller
Jennifer Oliver
Neeraj Kookada
Vijay Talwar
Justin Post
Brett Just
Hamid Kassaei
Speaker
John Blackledge
Jacqueline Reses
Shweta Khajuria
A Jennifer Oliver
Vivian Liu
Doug Anmuth
Steven McDermott
Piotr Szulczewski
Laura Champine
Taylor Harris
Tarun Jain
Peter Szulczewski
Unidentified Analyst
Dennis Walsh
Raj Bahri
Vijay Talwar 
Michael McGovern
Randy Scherago
Kunal Madhukar
