Benjamin Burnett
UnidentifiedAnalyst
Paul Matteis
Charles Duncan
Cameron Bradshaw
Michael W. Schmidt
Jon Lim
Akshay Vaishnaw
Emma Nealon
Maurice Raycroft
PaulMatteis
Christopher N. Marai
Michael G. King, Jr.
Ritu Baral
Ted A. Tenthoff
Marko K. Kozul
Tazeen Ahmad
TazeenAhmad
Megan Dow
AkshayVaishnaw
Anupam Rama
Adam A. Walsh
Joseph Stringer
Evan Seigerman
Akshay K. Vaishnaw
Whitney Ijem
Cameron A. Bradshaw
Mark Monane
Sonya Bhatia
ManiForoohar
Unidentified Analyst
Alicia Young
DA Gros
Unidentified Company Representative
Unknown Speaker
End of QA
Manmeet S. Soni
Christopher James
Gena Wang
John M. Maraganore
Operator
Manmeet Soni
Madhu Kumar
Carter Copeland
Michael Werner Schmidt
YvonneGreenstreet
Eric William Joseph
TolgaTanguler
Jared Gollob
Yvonne L. Greenstreet
Michael Mason
Cynthia Clayton
Dave Lebowitz
Brienne Kugler
Irina Margine
Terence C. Flynn
Mani Foroohar
Michael King
Paul A. Matteis
Alan Carr
Edward A. Tenthoff
Barry E. Greene
Josh Brodsky
Christine Regan Lindenboom
Konstantinos Aprilakis
Christine Lindenboom.
Geoffrey Meacham
Mike King
Christopher S. James
Terence Flynn
Barry Greene
Jeff Poulton
Yvonne Greenstreet
Alethia Young
JeffPoulton
Irene Lau
RituBaral
Tolga Tanguler 
LucaIssi
Luca Issi
SalveenRichter
Alethia R. Young
DavidLebowitz
Keith Tapper
EmmaNealon
Do Kim
DoKim
Carter Gould
Eric W. Joseph
Sriker Nadipuram
JohnMaraganore
LelandGershell
Christine Lindenboom
Salveen Richter
Gary Nachman
George Devoiko
Matthew Harrison
Pushkal Garg
GenaWang
David N. Lebowitz
John Maraganore
Manmeet Singh Soni
MauryRaycroft
Geoff Meacham
AlethiaYoung
Edward Tenthoff
Laurence Reid
Joshua Brodsky
AnupamRama
Tolga Tanguler
David Lebowitz
Mike Ulz
Eliana Merle
MauriceRaycroft
Mike G. King
Vincent Chen
Barry Green
Stephen Willey
PushkalGarg
Jessica Fye
Maury Raycroft
Myles Minter
Michael Schmidt
Adam Walsh
Yvonne Greenstreet 
BarryGreene
Olivia Brayer
Marko Kozul
John M. Maraganore, Ph.D.
Michael P. Mason
Steven Willey
Mike Mason
Ted Tenthoff
