Richard Catalano
Martin Howard
Orin Hirschman
Operator
Gordon Howard
Russ Mack
Annie Leschin
Peter Miselis
A Emmanuel Lakios
Will Hamilton
Robert Littlehale
Leonard Rosenbaum
Morton Howard
Robert Sussman
Thomas McNeill 
Otis Bradley
Tom McNeill
Paul Trica
Unidentified Speaker
Emmanuel Lakios
Joe Furst
Thomas McNeill
Unidentified Analyst
Brett Reiss
Unidentified Company Representative
Nathaniel August
Len Rosenbaum
Emmanuel Lakios 
Glen Charles
