Howard Ma
Tim Regan
Darren Yip
Jackson Nichols
Operator
Page Portas
Brent Thill
Kern Kapoor
Karan Kapoor
Kash Rangan
Heather Bellini
Karl Keirstead
Mark Mahaney
Luv Sodha
Zachary Schwartzman
John DiFucci
Rishi Jaluria 
Steve Enders
Tim Regan 
Unidentified Participant
Justin Post
Zachary Lountzis
Hannah Rudoff
Hannah Barkdoll
Scott Wilson
Timothy Regan
Ajay Vashee
Luv Sodha 
Jacob Staffel
Dan Church
Ben Rose
Joey Marincek 
Shaun Hannon
Dennis Woodside
Alex Zukin
Joey Marincek
Yamini Rangan
Brent Thill 
Andrew Houston
Richard Davis
Jason Ader 
Chris Eberle
Sarah Hindlian
Billy Fitzsimmons
Ted Lin
Ryan Goodman
Alan Wilson
Mark Murphy
Charlie Rogers
Rob Owens
Rishi Jaluria
Unidentified Analyst
Drew Houston
Jason Ader
Pat Walravens
Greg McDowell
