Bill Lennan
Rishi Jhunjhunwala
Gaurav Rateria
Sachin Salgaonkar
Gaurav M
Guarav Rateria
Kevin Campbell Kopelman
Lloyd Wamsley
Ashish Kashyap
Operator
Vijit Jain
Rajesh Magow
Manish Adukia
Hitesh Das
Vipul Garg
Gaurav Jain
Deep Kalra
Jonathan Huang
Chad Bartley
Aditya Chandrasekar 
Kevin LaBuz
Shaleen Kumar
A Vipul Garg
Gaurav Malhotra
Mohit Kabra
Shyam Patil
Aditya Chandrashekhar
A Jonathan Huang
Mohit Kabra 
Parag Gupta
Pinku Pappan
Lloyd Walmsley
Kevil Kopelman
Rajesh Magow 
Manish Hemrajani
Gaurav A. Malhotra
Ranjeet Jaiswal
Rishit Parikh
Sangmesh Jatti
Ashwin Mehta
Brendan McGoldrick
Unidentified Analyst
Unidentified Company Representative
Viju George
 
Arya Sen
Kevin Kopelman
