Bjorn De Winter
Disclaimer
Pasquale Natuzzi
Operator
Dave Kanen
Antonio Achille 
George MelasKyriazi
Piero Direnzo
Jason Camp
Italia Casalino
DaveKanen
Velin Mezinev
Garrett Larson
Francesca Cocco
Antonio Achille
Michael Feder
Vittorio Notarpietro
David Cannon
Robert Marcin
Anthony Lebiedzinski
Giovanni Danisi
VittorioNotarpietro
David Kanen
Unidentified Analyst
Gio Danisi
Giovanni Tucci
Nazzario Pozzi
PasqualeNatuzzi
Gianni Tucci
