Scott Henry
Edward Nash 
Daniel Brennan
Charles Duncan
Jeffrey Del Carmen
Operator
Alicia Grande
Gary Ingenito
Les Sulewski
Unidentified Participant
Steve Miller
Yun Zhong
Jeffrey Del Carmen 
Jeff Del Carmen
Joon Lee
Edward Nash
Brian Elsbernd
Patrick J. McEnany
Joe Catanzaro
Steven R. Miller
Pat McEnany
Mike Guo
Leland Gershell 
Dr. Steve Miller
Leszek Sulewski
Patrick McEnany
Steven Miller
Unidentified Analyst
Aly Grande
Joseph Catanzaro
Dan Brennan
Ali Grande
Leland Gershell
