Sergey Dluzhevskiy
Michael Morin
Tim Pennington
A Sarah Inmon
Franois
Mark Walker
Sheldon Bruha
HansHolger Albrecht
AllanNichols
Rodrigo Villanueva
A Michel Morin
Ric Prentiss
Martin Mabbutt
Bergae Telovisky
Kevin Roe
Lena Osterberg
Bill Miller J.M. Hartwell LP
Nick Brown
Stephen Mead
Stephen Bechade
Jan Dworsky
Unidentified Analyst
Laurie FitzjohnSykes
Unidentified Company Representative
Henrik Nilsson
HansHolger
Robert Slorach
Soomit K. Datta
FranoisXavier Roger
Operator
Gonzalo Fernandez Dionis
Rick Prentis
Richard Dineen
JP David
Bill Miller
Sumit Dhaka
Unidentified Participant
Justine Dimovic
Johanna Ahlqvist
Barry Zeitoune
Vitor Tomita
Thomas Heath
Mikael Grahne
FrancoisXavier Roger
Andres Coello
Chelsea Colon
Andreas Joelsson
Sarah Inmon
JP Davids
Torsten Achtmann
Sven Skld
Erik Pers
Sven Skold
Xavier Rocoplan
Mauricio Ramos
Stefan Gauffin
David Boyd
Henrik Mawby
Stefan Billing
Anders Wennberg Hans Brummer
Marcelo Santos
Gonzalo Fernandez
Diego Aragao
Erik Pers Berglund
Mauricio Fernandes
Michelle Morrow
Fredrik Lithell
Michel Morin
Miguel Garcia
Julio Arciniegas
Peter Kurt Nielsen
Peter Nielsen
Lena sterberg
Mario Zanotti
Soomit Datta
Chris Grundberg
Marc Zagar
Cesar Tiron
Georgios Ierodiaconou
David Kestenbaum
Mathieu Robilliard
Matthew Bloxham
William Miller
Klas Danielsson
Luigi Minerva
A Unidentified Company Representative
Chris O. Grundberg
James Rivett
PeterKurt Nielsen
Ernesto Gonzlez
Lucas Chavez
Timothy Pennington
Laurie Fitzjohn
JeanCharles Lemardeley
Matthew Robilla
Anders Wennberg
HansHolder Albrecht
Rizwan Ali
Nicolas Didio
