Urs Dur
Amit Solomon
Evangelos Chatzis
Operator
Dr. John Coustas
Evangelos Chatzis 
Charles Rupinski
Mark Suarez
John Coustas
Randy Giveans 
James Monigan
Omar Nokta 
Benjamin Kovacka
Andreas Brock
Christopher Robertson
Robert Perri
J Mintzmyer 
Randall Giveans
John Gandolfo
Christian Wetherbee
Gregory Lewis
Kerem Aksoy
Chris Robertson
Omar M. Nokta
Eli Winski 
Randy Giveans
Iraklis Prokopakis
Unidentified Analyst
Chris Wetherbee
Omar Nokta
John Coustas 
Unidentified Company Representative
Jay Mintzmyer
Climent Molins
