Ross MacMillan
Colin Sebastian 
Ivan Holman
Daniel Chan 
Todd Coupland
Sam Kemp
Thomas Forte
Tobi Ltke
Ben Wheeler
Jeffrey Cantwell
Terrell Tillman
Harley Finkelstein
Trevor Young
Brian L. Essex
Keith Weiss
Cengiz M. Cakmak
Ygal Arounian
Matt Pfau
Unidentified Analyst
Samuel James Kemp
Justin Furby
Kevin Krishnaratne
Jonathan Allan Kees
Tom Forte
Jonathan Kees
Justin A. Furby
Josh Beck
Brad Zelnick
Charlie Elliott
Operator
Nikhil Thadani
Craig Maurer
Andrew Boone
Mark Zgutowicz
Colin Sebastian
Michael Nemeroff
Richard Tse
Jesse Hulsing
Terry Tillman
Tobias Lutke
Eyal Ofir
Gabriela Borges
Sitikantha Panigrahi
Tyler Radke
Tobias Ltke
ColinSebastian
Brian Essex
Amy Feng
Samad Samana
Darren Aftahi
Brent Bracelin
A Katie Keita
Colin Alan Sebastian
Tim Chiodo
Brian Peterson
Thomas Forte 
DJ Hynes
Siti Panigrahi
Paul Treiber 
Jeff Hoffmeister
Brad Sills
Koji Ikeda
Bhavin Shah
Tobi Lutke
Daniel Chan
Gabriela Borges 
Katie Keita 
David Hynes
A Amy Feng
Vinay Mohan
James Takeman
Richard Davis
Ken Wong
Harley Finkelstein 
Suthan Sukumar
Christopher Merwin
Richard Mah
Tobias Ltke 
Abhinav Kapur
Amy Shapero 
Bradley Sills
Paul Treiber
Mark Zgutowicz 
Mark Mahaney
Kenneth Wong
Gus Papageorgiou
Matthew Pfau
Tobias Albin Ltke
Deepak Mathivanan
Amy Shapero
Josh Beck 
Gil Luria
David Hynes 
Monika Garg
Russ Jones
Chris Merwin
James Cakmak
Ronald Bookbinder
Bhavin Shah 
Gene Munster
Katie Keita
A 
