Lucy Guo
Edward Caso
Louie Dipalma
Bill Loomis
Ralph Shrader
Matt Liption
Suzanne E. Stein
Ben Arnstein
John Raviv
Toby Sommer
Michael Lewis
Kevin L. Cook
Joseph DeNardi
Jason Gursky
Ron Epstein
Cai Rumohr
Sheila Kahyaoglu
Matthew Akers
Matthew Sharpe
Unidentified Analyst
Krishna Sinha
Samuel Strickland
Lloyd W. Howell
Nathan Rutledge
Gavin Parsons
Will Yates
Brian Gesuale
Operator
Robert Spingarn
Colin Canfield
Carter Copeland
Joseph William DeNardi
Horacio Rozanski
Tobey Sommer
Tim McHugh
George PriceBBT Capital Markets
Louie DiPalma
Michael Kendrick French
Ronald Epstein
Steven Cahall
Rob Spingarn
Kristine Tan Liwag
Sam Strickland
Jon Raviv
Kevin Cook
Brian Ruttenbur
Ralph W. Shrader
Ronald Jay Epstein
Timothy McHugh
Denny Galindo
Matt Hill
Laura Adams
Matt Akers
Nick Veasey
Rocco Barbero
Michael French
Elizabeth Grenfell
Cai Von Rumohr
Jason M. Gursky
Unidentified Analsyst
Kristine Liwag
Jon Ladewig
Chris Sands
Carter CopelandBarclays Capital
William R. Loomis
Lloyd W. Howell, Jr.
William Loomis
Ed Caso
Bert Subin
Matt Calderone
Horacio D. Rozanski
Rubun Dey
Amit Singh
Tyler J. Scott
Robert Spingham
Steven L. Cahall
Edward S. Caso
Trevor Romeo
Kurt Riggle
Cai von Rumohr
George Price
Jonathan Raviv
Robert M. Spingarn
Joseph Denardi
Joe Nadol
Seth Seifman
Samuel R. Strickland
George A. Price
Curt Riggle
Greg Konrad
Rayna Kumar
Cai von Rumohr, CFA
Tim J. McHugh
Lloyd Howell
