Sam Hoffman
PeteVogt
James Naklicki
Mickey Nannizzi
Yaron Kinar
Albert A. Benchimo
Linda Ventresca
Mike Phillips
Richard Gieryn
Amit Kumar
Albert Benchimol
Joseph C. Henry
Josh Shanker
Michael Nannizzi
Mei Zhang
Operator
Brian Meredith
John Charman
Ray Iardella
Ryan Clark
Albert Benchimols
Peter Vogt
Kia Pan
John R. Charman
Gregory W. Locraft
Unknown Analyst 
Elyse Greenspan
Ian Gutterman
Elizabeth Malone
Arash Soleimani
Vinay Misquith
Greg W. Locraft
James O'Shaughnessy
Jay Cohen
Albert A. Benchimol
Christopher Campbell
Charles Sebaski
Meyer Shields
Ryan Byrnes
Kai Pan
Brian R. Meredith
Cliff Gallant
Richard T. Gieryn
Dan Farrell
Phil Stefano
Joseph Henry
Gregory Locraft
Jay A. Cohen
Matt Rohrmann
Ian M. Gordon
Keith Walsh
Sean Reitenbach
Charles J. Sebaski
Joe Henry
Greg LoCraft
Pete Vogt
Matthew Heimermann
Derek Han
Unidentified Analyst
Joshua Shanker
Michael S. Nannizzi
Michael Maneasy
Unidentified Company Representative
Michael Phillips
Greg Locraft
Graham Y. Tanaka
Matthew Rohrmann
Michael Hennessey
