Questionand
Rex Copeland
Andrew Liesch
Michael Perito
Stan Westhoff
John Rodis
Kelly Polonus
Damon DelMonte
Joseph Turner
A Joe Turner
Andrew Liesh
Unidentified Company Representative
Operator
Joe Turner
