A Daniel Pretorius
.
Martin Creamer
James Duncan
Adriaan Jacobus Davel
Unidentified Analyst
Jaco Schoeman
A Nil Pretorius
Riaan Davel
Unidentified Company Representative
Operator
Q Wilhelm Schoeman
Arnold Van Graan
Daniel Pretorius
Wilhelm Schoeman
Nil Pretorius
