Catherine Buan
Brian Nowak
Brian Roberts 
Sonya Banerjee
Michael Graham
Mark Mahaney 
Itay Michaeli
Tom White
Ronald Josey
Alex Potter
Operator
Brian Fitzgerald
Brent Thill
Benjamin Black
Stephen Ju
Mark Mahaney
Eric Sheridan
Logan Green 
Ed Yruma
Elaine Paul
Deepak Mathivanan
Ross Sandler
Douglas Anmuth
Heath Terry
Steven Fox
Logan Green
Andrew Hargreaves
John Blackledge
Itay Michaeli 
Ygal Arounian
John Zimmer
Brad Erickson
Lloyd Walmsley
Doug Anmuth
Justin Patterson
Andy Hargreaves
Brian Roberts
Brent Thill 
Ron Josey
Unidentified Analyst
Nikhil Devnani
Mike Olson
