Fei Teng
David Leiker
Colin Langan
Sascha Gommel
Kenneth Toll Johansson
Thomas Besson
Agnieszka Vilela
H. Peter Nesvold
Erik Pettersson
Christian Hanke
Jim Carlson
Philipp Konig
Julian Radlinger
Andreas Brock
Joe Vruwink
Hyong Lim
Steven Hempel
Davis Lesnar
Shawn Kim
Andrea Abouchacra
James Picariello
Kai Mueller
Matt Stover
Stephan Puetter
Andeas Brock
AnnSofie Nordh
Joe Spak
Unidentified Analyst
Jason West
Anthony Deem
Richard J. Hilgert
Disclaimer
Adam Brooks
Andreas Koski
Dave Lim
Operator
Mats Odman
Hampus Engellau
John Hernander
Hampus Engellaut
Jacob Hughes
Jason Stuhldreher
Christopher McNally
Unidentified Participant
Joseph Spak
Jan Carlson
Mattias Holmberg
Ted
Joe
Johan Dahl
Dan Galves
Anders Trapp
Viktor Lindeberg
Rod Lache
Fredrik Westin
Ravi Shankar
Ashik Kurian
Erik Golrang
Brian Sponheimer
Mats Liss
Kenneth Toll
Antoine Brgeaut
Philippe Barrier
Itay Michaeli
Mats Backman
Erik Paulsson
Jairam Nathan
Mathias Hermansson
Thomas Jonsson
Brian Arthur Johnson
Bjorn Enarson
Matthew Stover
Victoria Greer
Stefan Burgstaller
Garrett Klumpar
Ravi Shanker
Samik Chatterjee
Ryan Brinkman
Peter Testa
Mikael Bratt 
Patrick Nolan
David Jacobsson
Sabrina Reeh
Peter Nesvold
Richard Hilgert
Emmanuel Rosner
Shreyas Patil
Pat Nolan
Giulio Pescatore
Brian Johnson
Rich Kwas
Deeya D'souza
Jon Carlson
George Galliers
Unknown Analyst
Kai Alexander Mueller
Brett D. Hoselton
Ashish Kurian
David Lim
Ryan J. Brinkman
Mats dman
Niclas Hglund
Vijay Rakesh
Chris McNally
Himanshu Patel
Hampus Engelieu
Erik Karlsson
Michael Tyndall
Giacomo Picceto
Mats Wallin
Philip Watkins
Bjrn Enarson
Mikael Bratt
Alexandre Raverdy
Adam Schmitz
Sheila Weekes
Brett Hoselton
Edoardo Spina
