Ross MacMillan
Jeff Glidden
Jim Heppelmann
Jason Celino
Steve Tusa
Andrew D. Miller
Kenneth Talanian
Shankar Subramaniam
Rafael Garcia
Gal Munda
Q 
Saket Kalia
Joe Vruwink
Sterling Auty
Yun Kim
Steven R. Koenig
Matt Hedberg
Sterling P. Auty
Andrew Kaplan
Jon Hirschtick
Alex Tout
Unidentified Analyst
Rob Oliver
James Heppelmann
Jeffrey D. Glidden
James Hillier
Andrew Million
Emily Walt
Richard Valera
Michael Olson
Operator
Perry Huang
Josh Sullivan
Matthew Williams
Chris Hogan
Unidentified Participant
Blair Abernethy
Barry F. Cohen
Matthew George Hedberg
Jim Heppelmann 
Andrew Miller
Steven Koenig
Matt Broome
Gabriela Borges
Tyler Radke
Barbara Coffey
Yun S. Kim
Shankar Subramanian
Alexander Frankiewicz
Raimo Lenschow
Blair H. Abernethy
Shateel Alam
Kristian P. Talvitie
Matt Shimao
Ed Maguire
James E. Heppelmann
Blair Abernethy 
Joseph Vruwink
Matthew Hedberg
Matthew Broome
Ben Rose
Jackson Ader
Steve Koenig
Richard Davis
Ken Wong
Matt Williams
Barry Cohen
Jeffrey Glidden
Ken Talanian
Adam Borg
David E. Hynes
Matthew Swanson
Ken Wong 
Company Representatives
Kristian Talvitie
Joe Vruwink 
Ugam Kamat
Kenneth Richard Talanian
Matt Lemenager
Edward Maguire
Steve R. Koenig
Kenneth Wong
Jay Vleeschhouwer 
Tim Fox
Ben Z. Rose
Matthew L. Williams
Timothy Fox
Monika Garg
Andrew Obin
Unknown Executive
Jay Vleeschhouwer
Ann Grackin
Ken Wang
Andy Miller
Matt Swanson
Kristian Talvitie 
Richard H. Davis
