Quanfu Hong
Xi Zhang
Lewis Fan
Mike Legg
Shuang Sun 
Operator
Maso Lee
G. Zhang
SongJiaji
Tong He
Jingjie Wu
Hans Chung
Kevin Dede
Song Jiaji 
Jiaer Zhu 
James Cheng 
Jiaer Zhu
Michael Legg 
Michael Legg
Clark Soucy
Akida Erkin
Nangeng Zhang
Neshi Zhang
Craig Ellis
Martin Chen
Shaoke Li
James Cheng
Daniel Weiskopf
Unidentified Analyst
Nangeng Zhang 
Unidentified Company Representative
Shuang Sun
Clark Soucy 
