Vikram Purohit
Lucas Baranowski
David Lebowitz
Jenny Herman
Matt Hewitt 
Joel Lebowitz
Derik De Bruin
Operator
Ramy Farid 
Gary Nashman
Gora Gabarachu
Do Kim
Michael Yee
Jaren Madden
Gary Nashman 
Michael Yee 
Ramy Farid
Matt Hewitt
Gary Nachman
Geoff Porges
Michael Ryskin
Unidentified Analyst
Gaurav Goparaju
Andrew Tsai
Karen Akinsanya
Tracy Lessor
