Irma Sgarz
Gabriel Martinez
Javier Martinez
Luis Andr Blanco
Vinicius Ribeiro
Thiago Bortoluci
Unidentified Analyst 
Operator
Mauricio Cepeda 
Vinicius Figueiredo
Luciano Campos
Victor Tomito
Jlio De Angeli
Ana Raquel Torres
Marcelo Santos
Virgilio Gibbon
Lucca Brendim
Luis Andre Blanco
Luis Blanco
Vitor Tomita
A Renata Couto
Luis Blanco 
Renata Costa Couto
Caio Moscardini
Mauricio Cepeda
Belo Horizonte
Jlio Angeli
Unidentified Analyst
Virgilio Gibbon 
Yan Cesquim
Renata Couto 
Victor Tomita 
Renata Couto
Susana Salaru
