Alethia Young
Stuart. Peltz
Eric Pauwels
Sami Corwin
Stuart Peltz
Nina Daniels
Mark Connolly
Matthew Eckler
Kelly Shi
Mark Boulding
Gena Wang
Alex Kane
Jeremiah Shepard
Joe Thome
Joel Beatty
Vincent Chen
Alex Xenakis
Judah Frommer
Operator
Stephen Mallon
Shawn Egan
Christopher Marai
Peyton Bohnsack
Joseph Thome
Kristen Kluska
Derek Yuan
Marcio Souza
Chris Marai
Jason Kantor
Stuart W. Peltz
Mark Rothera
Peter Stapor
Kylie O'Keefe
Rick Krause
Carter Gould
Ritu Baral
Peter Kim
Tazeen Ahmad
Debjit Chattopadhyay
Christine Utter
Anupam Rama
Timothy Dyer
Stu Peltz
Matthew Klein
Evan Seigerman
Martin Auster
Jane Baj
Ellie Merle
Alexander Nackenoff
Kylie OKeefe
Colin Bristow
Heather Behanna
Simos Simeonidis
Unidentified Speaker
Robyn Karnauskas
Alexander Xenakis
Shane Kovacs
Emily Hill
Stuart Peltz 
Brian Abrahams
Unidentified Analyst
Raju Prasad
Alex Sklar
Geoff Meacham
Danielle Brill
Kumar Raja
Eric Joseph
Kripa Devarakonda
