Hooper Stevens
Brian Kraft
David Joyce
Jason Bazinet
Kutgun Maral
Matthew J. Harrigan
Robert Routh
Vijay A. Jayant
James Ratcliffe
Matthew Niknam
Amy Yong
Lee Cooperman
Matthew Harrigan
Jessica Reif Ehrlich
James Marsh
James Radcliffe
Scott Greenstein 
Stephen Laszczyk
Sebastiano Petti
Barton E. Crockett
Ben Swinburne 
James E. Meyer
Bryan D. Kraft
Jim Goss
Jessica Jean ReifCohen
Stan X. Meyers
Unidentified Analyst
Unidentified Company Representative
End of QA
Mel Karmazin
Jessica Reif Elrick
Christopher Barnes
Barton Crockett
Operator
Jessica Reif Cohen
Vijay Jayant
Steven Cahall
John Tinker
Benjamin Swinburne
Brian Russo
James M. Ratcliffe
Bryan Kraft
Benjamin Daniel Swinburne
Scott A. Greenstein
Jennifer Witz
Steven Cahall 
Kannan Venkateshwar
Jason Bazinet 
Matt Niknam
Jessica Jean Reif Cohen
Jason B. Bazinet
David Bank
Peter Henderson
Murray Arenson
James Goss
Bart E. Crockett
James M. Marsh
Brett Joseph Feldman
Brett Feldman
James Charles Goss
Jessica J. Reif Cohen
Michael Pace
Tim Nollen
James Meyer
Zach Silver
Thomas William Eagan
Jason Boisvert Bazinet
Philip A. Cusick
David Carl Joyce
Jessica Reif
Ben Swinburne
Sean Sullivan
Leah Pilla
Jim Meyer
Zack Silver
Eric Pan
Scott Andrew Greenstein
Amy Young
David Frear
Scott Greenstein
Mike Pace
Ben Steinberg
Brandon Ross
Jessica Reif Ehrlich 
Ryan Fiftal
Doug Mitchelson
David J. Frear
Sean Sullivan 
