Rodrigo Nistor
Alejandra Obregon
Daniel Rojas
Operator
Marcos Gradin
Gaston Pinnel
Nikolaj Lippmann
Antonella Rapuano
Gastn Pinnel
Diego Jaln
Alberto Valdez
Sergio Faifman 
Alberto Valerio 
Mauricio Serna
Sergio Faifman
Alberto Valerio
Carlos Peyrelongue
Dan McGoey
Unidentified Analyst
Diego Jalon
