Bill Carroll
Stephen Byrne
Joseph D. Rupp
James A. Varilek
Joseph Rupp
Casey Mcdonald
Herbert Hardt
Scott Sutton 
Damian Gumpel
Todd Slater 
John McIntosh
Donald David Carson
Gregg Goodnight
John Roberts
Matthew DeYoe
Trelford Owen Douglas
Christopher Ryan
A Todd Slater
Donald Carson
Joshua Spector
Arun Viswanathan
Jim Varilek
Vincent Anderson
Bobby Geornas
Edward Yang
Eric B. Petrie
Mike Leithead 
Michael Sison
Josh Silverstein
Arun S. Viswanathan
Andrew Cash
Roger N. Spitz
Herb Hardt
Tarek Hamid
John E. Roberts
Unidentified Analyst
Neel Kumar
Unknown Speaker
Joe Rupp
Matts Slowinski
Edward H. Yang
Steve Byrne
Jason A. Freuchtel
Karl Blunden
Operator
John Fischer
Sabina Chatterjee
Owen Douglas
Jacob Hughes
Todd A. Slater
James Sheehan
Larry Kromidas
Richard OReilly
Edlain S. Rodriguez
Q Hassan Ahmed
Kevin McCarthy
Larry P. Kromidas
Gregg A. Goodnight
Matthew Blair
Edlain Rodriguez
Todd Slater
Kevin W. McCarthy
Aziza Gazieva
Maggie Cheung
Frank J. Mitsch
Pat Dawson
Christopher W. Butler
Eugene Fedotoff
Hassan Ahmed
John L. McIntosh
Logan Bonacorsi
Emily Wagner
Alyssa Steinberg
Josh Spector
Travis Edwards
Aleksey V. Yefremov
Bobby Jordan
Angel Castillo
James Cameron
Jeffrey Linn Gates
Jason Freuchtel
Jeffrey Zekauskas
Angelo Castillo
Jeffrey J. Zekauskas
Steve Keenan
James Varilek
Michael Leithead
James P. Finnerty
Mike Sison
Charles Neivert
Alex Yefremov
Jeff Zekauskas
Christopher Butler
Eric Petrie
DeForest Hinman
Chris Ryan
Patrick Schumacher
James Finnerty
Scott Sutton
Unknown Analyst
Rafael Smith
Frank Mitsch 
Pat D. Dawson
Aleksey Yefremov
Andrew W. Cash
Richard O'Reilly
Roger Spitz
Roger Neil Spitz
John E. Fischer
Dmitry Silversteyn
Frank Mitsch
Unknown Attendee
Roman Kuznetsov
John Fisher
Herbert A. Hardt
Don Carson
Brett Flaugher
Jim Sheehan
Mike Leithead
Cooley May
